icao24,model
a6c225,172P
a20dca,172M
a808b6,172M
a12f13,172H
ad06f9,172N
ab74fa,172C
3d1eb6,F172H
40229a,CESSNA 172RG Cutlass Rg
c05462,172M (Cessna)
a07160,172M
ac0b54,172F
401e1b,CESSNA F172H Skyhawk
a180ec,172L
ac2938,P172D
a0f83d,172C
a1229a,172M
ad4ade,172R
506df3,172N Skyhawk
a5b653,172K
ab4a85,172F
a7e7c1,172N
a6fc8d,172M
a23df6,172R
a86f64,172M
a6b329,172P
a83b53,172RG
a1a755,172M
a87737,172M
a0a996,172N
ab4e57,172H
c08416,172N (Cessna)
ad3f41,172RG
a6acbd,172S
a12c24,172E
aadc77,172K
c04481,172M (Cessna)
c0576a,172 (Cessna)
a0086a,172F
a3fe63,172I
a763ac,172E
a3aedf,172N
a9dbb0,172N
c00a21,172E (Cessna)
aa37f5,R172K
c06c57,172M (Cessna)
a69ab3,172N
c00ea5,172H (Cessna)
382d43,FP172
ab8e02,172K
506db4,F172
a2a2d7,172D
a64c5a,172M
a8cce3,172M
a84ba8,172N
a309ab,172S
a5af63,172G
ab5219,172C
a121ec,172H
c02387,172 (Cessna)
a0561e,172S
c00f61,172M (Cessna)
a9eec7,172N
a4a41f,172G
ac0098,172F
a17260,172N
a61694,172N
45b923,F172
a8b14f,172S
ad652c,172C
abec7e,172F
a05f87,172M
a80f01,172RG
a96dee,172L
a05e24,172M
a9dd5e,172K
a36ca1,172M
a2eb39,172D
a183d6,172S
a6bf2d,172M
a7baa2,172G
a9dd07,172M
c09d79,BLACK HAWK 172cc (Black Hawk)
a9bf07,172M
a0631b,172N
aa47ef,172A
abcf17,172R
a87ace,172M
3d47d5,172S Skyhawk SP
c00bb6,172G (Cessna)
a67969,172N
c03792,172G (Cessna)
ab5ec2,172F
a01890,172M
adc144,172P
a8f5b3,R172E
a69e58,172S
c00631,172K (Cessna)
a4142f,172R
3d0a1f,FR172G Rocket
a9e69f,172N
a59c5a,172I
a750c6,172N
a7d234,172S
a064fa,R172K
a969f1,172L
a6f8d2,172N
a9d961,172K
3d230b,F172H
a7d942,172S
a5b330,172K
a1a06b,172M
c084ec,172L (Cessna)
3d1730,172B Skyhawk
390dcd,F172P
abe43e,172F
ad69fd,R172K
a750d1,172F
3d0ba7,F172L
a6d1b3,172P
aadbea,172K
acd00a,172M
a9a8f4,172S
c07151,172P (Cessna)
a53533,172L
c00337,172K (Cessna)
a180e7,172L
4ab1b5,Cessna 172S Skyhawk SP
a6b301,172P
c084a0,R172K (Cessna)
c06043,R172K (Cessna)
a3f706,172R
aac5e4,172N
3d0d48,F172H
4b9c82,172S Skyhawk
ad7e8f,172F
aab385,172E
3d489e,172S Skyhawk SP
a025a9,172M
aa8a65,172E
aaecae,172B
c08215,172L (Cessna)
a48e63,172R
c02b6f,172K (Cessna)
c07c1d,172 (Cessna)
ad1b19,172P
ab0690,172M
a9ea48,172N
aae8fd,172M
aa3a2f,172B
a46da1,172G
a32696,172M
a18130,172L
a8771c,172M
a8086e,172M
a9d762,172N
a68214,172N
404bd7,CESSNA 172S Skyhawk
a1120a,172H
aac1de,172F
a9f9e6,172A
a73d22,172E
ad6aca,172M
c02857,172D (Cessna)
a29082,172H
a9eacf,172N
c070a3,172S (Cessna)
a5a7a2,172K
3d2758,F172G
a7cae0,172S
a9ed45,172N
a80f9f,172M
a4024f,172E
a172ec,172N
a184ea,172L
a09435,172M
ac24c9,172F
ad3cde,172S
a8705b,172M
a9d718,172N
a9eada,172N
a6be89,172R
ab95b8,172K
a074d6,172M
aaff1e,172B
3980a8,172S Skyhawk SP
a9e831,172N
a70397,172S
a48d4f,172E
aaae19,172K
a8c348,172S
c0877b,172M (Cessna)
ab4708,172N
a35655,172P
c05726,172M (Cessna)
c0236c,172B (Cessna)
c0741a,172M (Cessna)
aaba77,172K
a6e1e6,172S
a421ab,172G
c054bb,172M (Cessna)
ad7893,172M
4a3688,172M Skyhawk
3d0f26,F172E
a1c7bf,172S
aabb6d,172K
c01881,172 (Cessna)
402af3,CESSNA 172P Skyhawk
a9e1aa,R172K
3d0cbb,172RG Cutlass RG
c07ba6,172M (Cessna)
acb869,172E
ad7224,172P
c07621,172N (Cessna)
a957c7,172L
