Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
,,975.0,309.0,23.2,82.0,168.0,9.0
,,950.0,536.0,21.9,85.0,216.0,9.0
,,925.0,768.0,20.2,87.0,238.0,13.0
,,900.0,1005.0,18.9,90.0,240.0,16.0
,,850.0,1495.0,16.2,95.0,229.0,20.0
,,800.0,2010.0,13.6,97.0,219.0,24.0
,,750.0,2552.0,10.9,97.0,205.0,27.0
,,700.0,3126.0,7.8,95.0,197.0,29.0
,,650.0,3735.0,4.6,93.0,203.0,28.0
,,600.0,4384.0,1.1,92.0,223.0,22.0
,,550.0,5080.0,-2.9,95.0,254.0,14.0
,,500.0,5831.0,-6.2,85.0,258.0,14.0
,,450.0,6649.0,-10.4,77.0,236.0,22.0
,,400.0,7547.0,-15.8,64.0,226.0,25.0
,,350.0,8541.0,-22.8,49.0,231.0,32.0
,,300.0,9651.0,-31.2,25.0,242.0,48.0
,,250.0,10916.0,-41.3,41.0,246.0,71.0
,,200.0,12389.0,-53.8,37.0,250.0,73.0
,,150.0,14170.0,-68.8,69.0,259.0,71.0
,,100.0,16515.0,-77.6,45.0,295.0,49.0
b'13.0000',b'-138.0000',1010.0,0.0,24.8,87.0,126.0,16.0
,,1000.0,87.0,24.2,85.0,127.0,20.0
,,975.0,309.0,22.8,87.0,132.0,22.0
,,950.0,535.0,21.4,89.0,149.0,22.0
,,925.0,767.0,19.9,92.0,169.0,22.0
,,900.0,1003.0,18.5,96.0,185.0,23.0
,,850.0,1493.0,16.2,99.0,202.0,25.0
,,800.0,2008.0,13.9,99.0,206.0,27.0
,,750.0,2552.0,11.4,99.0,206.0,28.0
,,700.0,3127.0,8.4,99.0,202.0,29.0
,,650.0,3738.0,5.2,99.0,200.0,29.0
,,600.0,4389.0,1.7,99.0,201.0,28.0
,,550.0,5086.0,-2.3,99.0,207.0,26.0
,,500.0,5838.0,-6.8,99.0,219.0,20.0
,,450.0,6654.0,-11.4,96.0,255.0,16.0
,,400.0,7550.0,-15.8,68.0,254.0,25.0
,,350.0,8544.0,-22.4,66.0,236.0,33.0
,,300.0,9656.0,-31.3,71.0,239.0,42.0
,,250.0,10919.0,-41.7,61.0,248.0,67.0
,,200.0,12391.0,-53.7,36.0,250.0,73.0
,,150.0,14174.0,-68.8,65.0,257.0,70.0
,,100.0,16518.0,-77.2,41.0,287.0,43.0
b'13.0000',b'-137.0000',1010.0,0.0,24.9,89.0,102.0,19.0
,,1000.0,87.0,24.2,87.0,102.0,23.0
,,975.0,309.0,22.7,90.0,105.0,26.0
,,950.0,535.0,21.7,88.0,117.0,27.0
,,925.0,767.0,20.6,87.0,134.0,26.0
,,900.0,1004.0,19.2,89.0,148.0,25.0
,,850.0,1495.0,16.5,95.0,163.0,24.0
,,800.0,2010.0,13.8,98.0,165.0,25.0
,,750.0,2553.0,10.9,97.0,167.0,27.0
,,700.0,3127.0,7.8,94.0,174.0,30.0
,,650.0,3736.0,4.6,97.0,193.0,30.0
,,600.0,4386.0,1.5,98.0,224.0,28.0
,,550.0,5083.0,-2.3,98.0,246.0,25.0
,,500.0,5835.0,-6.2,96.0,262.0,23.0
,,450.0,6655.0,-10.2,89.0,253.0,16.0
,,400.0,7553.0,-15.9,94.0,239.0,23.0
,,350.0,8546.0,-22.5,91.0,244.0,32.0
,,300.0,9659.0,-30.9,80.0,246.0,40.0
,,250.0,10923.0,-41.7,81.0,248.0,57.0
,,200.0,12394.0,-54.0,50.0,250.0,71.0
,,150.0,14174.0,-69.1,66.0,257.0,73.0
,,100.0,16519.0,-76.8,37.0,281.0,37.0
b'13.0000',b'-136.0000',1010.5,0.0,24.8,89.0,97.0,19.0
,,1000.0,92.0,24.0,87.0,97.0,23.0
,,975.0,313.0,22.2,91.0,99.0,25.0
,,950.0,540.0,21.0,93.0,106.0,26.0
,,925.0,771.0,20.0,92.0,117.0,25.0
,,900.0,1007.0,18.9,94.0,124.0,24.0
,,850.0,1498.0,16.5,96.0,145.0,24.0
,,800.0,2014.0,13.9,97.0,152.0,23.0
,,750.0,2557.0,11.0,98.0,156.0,23.0
,,700.0,3130.0,7.7,99.0,165.0,24.0
,,650.0,3739.0,4.6,99.0,177.0,27.0
,,600.0,4390.0,1.6,99.0,192.0,28.0
,,550.0,5087.0,-2.2,99.0,219.0,27.0
,,500.0,5840.0,-6.2,99.0,242.0,23.0
,,450.0,6657.0,-11.0,99.0,249.0,17.0
,,400.0,7553.0,-15.9,94.0,250.0,21.0
,,350.0,8548.0,-22.1,83.0,252.0,34.0
,,300.0,9662.0,-30.8,84.0,250.0,41.0
,,250.0,10926.0,-41.9,100.0,247.0,48.0
,,200.0,12394.0,-54.5,94.0,251.0,63.0
,,150.0,14173.0,-69.2,63.0,258.0,76.0
,,100.0,16520.0,-76.4,33.0,278.0,36.0
b'13.0000',b'-135.0000',1011.1,0.0,25.0,88.0,84.0,18.0
,,1000.0,96.0,24.1,86.0,85.0,21.0
,,975.0,318.0,22.4,91.0,87.0,23.0
,,950.0,544.0,21.0,92.0,96.0,24.0
,,925.0,775.0,19.9,91.0,106.0,23.0
,,900.0,1012.0,18.7,92.0,110.0,21.0
,,850.0,1502.0,16.6,92.0,137.0,19.0
,,800.0,2018.0,14.1,92.0,147.0,20.0
,,750.0,2561.0,11.0,95.0,150.0,21.0
,,700.0,3135.0,7.2,98.0,152.0,22.0
,,650.0,3742.0,4.0,100.0,160.0,24.0
,,600.0,4391.0,0.7,99.0,168.0,24.0
,,550.0,5086.0,-2.6,99.0,182.0,26.0
,,500.0,5838.0,-6.1,98.0,211.0,28.0
,,450.0,6657.0,-10.5,99.0,240.0,30.0
,,400.0,7554.0,-16.1,99.0,257.0,24.0
,,350.0,8548.0,-22.5,100.0,259.0,30.0
,,300.0,9660.0,-31.0,100.0,256.0,39.0
,,250.0,10924.0,-41.8,100.0,248.0,47.0
,,200.0,12392.0,-54.9,100.0,250.0,56.0
,,150.0,14168.0,-69.3,62.0,259.0,80.0
,,100.0,16523.0,-75.8,31.0,272.0,30.0
b'13.0000',b'-134.0000',1011.4,0.0,25.2,86.0,79.0,15.0
,,1000.0,99.0,24.2,83.0,80.0,18.0
,,975.0,321.0,22.6,87.0,84.0,20.0
,,950.0,548.0,21.2,88.0,97.0,20.0
,,925.0,779.0,19.8,89.0,107.0,18.0
,,900.0,1015.0,18.4,92.0,113.0,16.0
,,850.0,1504.0,17.0,76.0,137.0,15.0
,,800.0,2021.0,15.0,65.0,142.0,16.0
,,750.0,2564.0,12.0,49.0,137.0,19.0
,,700.0,3138.0,8.1,55.0,138.0,22.0
,,650.0,3747.0,4.9,79.0,148.0,23.0
,,600.0,4396.0,1.2,82.0,162.0,21.0
,,550.0,5091.0,-3.6,90.0,164.0,22.0
,,500.0,5840.0,-6.4,98.0,203.0,20.0
,,450.0,6659.0,-10.5,99.0,237.0,24.0
,,400.0,7556.0,-16.0,99.0,261.0,25.0
,,350.0,8549.0,-22.8,100.0,265.0,22.0
,,300.0,9661.0,-31.2,100.0,260.0,32.0
,,250.0,10923.0,-42.2,100.0,257.0,46.0
,,200.0,12388.0,-55.4,100.0,252.0,51.0
,,150.0,14163.0,-69.0,55.0,261.0,83.0
,,100.0,16531.0,-75.8,29.0,266.0,24.0
b'13.0000',b'-133.0000',1011.6,0.0,25.2,84.0,77.0,15.0
,,1000.0,101.0,24.2,82.0,79.0,18.0
,,975.0,323.0,22.4,87.0,82.0,19.0
,,950.0,549.0,20.8,89.0,92.0,19.0
