Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
4,33,-20.42,2.54,12.28,3.62,74.67,2.04,100.0,92.89
5,22,-46.53,4.0,13.68,3.27,75.69,1.63,100.0,92.83
6,12,-39.41,6.81,16.59,3.03,77.34,0.82,100.0,97.54
7,16,-55.34,4.23,10.23,2.93,76.35,1.23,100.0,94.02
8,15,-65.18,7.96,21.97,4.2,77.0,1.19,100.0,98.94
9,18,-16.56,5.65,11.96,3.44,74.02,1.67,100.0,90.58
10,4,-45.37,6.34,23.3,3.21,77.57,0.33,100.0,99.75
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,10,-58.06,4.21,21.77,3.25,77.36,0.36,100.0,99.32
2,26,-16.49,3.57,11.11,3.09,74.39,1.84,99.9,90.97
3,17,-47.91,5.06,13.56,3.54,76.73,0.97,100.0,97.26
4,11,-72.22,5.46,11.36,2.82,76.29,1.83,99.81,92.66
5,13,-32.48,8.92,18.25,5.37,76.22,1.65,100.0,97.59
6,10,-61.37,3.13,8.76,2.3,73.67,2.47,95.38,83.52
7,16,-33.58,3.65,9.26,2.19,74.68,2.3,99.0,91.87
8,15,-56.52,6.21,9.7,2.69,75.24,1.7,100.0,90.42
9,17,-43.22,5.63,14.84,2.5,76.14,1.51,100.0,95.23
10,31,-23.84,3.47,12.07,2.46,74.1,2.28,100.0,89.3
11,15,-22.25,6.85,10.14,3.16,77.16,1.08,100.0,93.11
12,6,-72.81,5.11,22.59,4.01,77.05,1.27,100.0,98.71
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,7,-46.27,2.9,17.91,3.94,76.95,0.84,100.0,98.69
2,10,-62.21,3.98,9.41,2.15,73.28,1.79,93.0,82.79
3,14,-15.92,3.99,9.88,2.0,73.54,1.15,98.46,91.28
4,14,-33.53,3.0,10.52,2.32,75.85,1.52,100.0,94.19
5,6,-54.22,7.15,13.38,1.64,74.51,1.66,100.0,96.22
6,16,-25.86,3.78,10.95,1.86,72.9,2.32,99.0,84.15
7,9,-19.14,6.44,15.0,2.79,75.32,1.97,99.9,90.11
8,12,-41.69,4.55,9.75,2.95,73.82,1.64,99.55,90.48
9,12,-67.57,7.16,22.28,3.87,77.17,0.95,100.0,98.94
10,4,-45.37,6.34,23.3,3.21,77.57,0.33,100.0,99.75
11,12,-20.79,3.11,9.54,1.23,74.25,1.79,99.05,93.35
12,11,-18.87,4.26,10.74,3.3,77.27,1.14,100.0,92.91
13,14,-22.72,3.83,16.7,3.26,76.54,0.97,100.0,96.39
14,7,-68.38,4.44,10.82,2.86,77.49,1.05,98.89,93.18
15,8,-33.95,4.46,12.54,3.31,77.02,0.68,100.0,94.49
16,7,-60.07,2.86,8.29,1.79,75.39,1.61,100.0,90.42
17,3,-78.92,4.65,8.69,2.29,74.71,2.46,99.47,91.51
18,7,-54.67,3.79,16.4,3.27,77.55,0.55,100.0,98.4
19,6,-51.47,3.1,10.09,1.7,76.44,0.54,99.96,96.21
20,8,-45.92,3.51,14.9,2.9,76.57,0.59,100.0,92.72
Profiles >=80 pLdB,% of total,Outlier Profiles,Percentage of Total
0,0.0,40,17.62
