Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
61.16,-150.01,12824,159.0,-52.7,5,254,29
61.16,-150.01,14470,123.0,-55.7,4,255,31
61.16,-150.01,17374,78.1,-53.3,4,270,54
61.16,-150.01,19558,55.7,-50.7,4,296,63
61.16,-150.01,23360,31.1,-45.7,3,304,78
61.16,-150.01,27432,16.9,-47.0,1,310,91
61.16,-150.01,31321,9.5,-39.7,1,323,108
55.2,-162.71,472,925.0,1.2,79,185,22
55.2,-162.71,1721,790.0,-7.5,62,185,29
55.2,-162.71,2438,719.8,-12.4,17,190,31
55.2,-162.71,3353,638.0,-16.2,79,150,43
55.2,-162.71,4483,548.0,-22.3,71,138,58
55.2,-162.71,5700,463.0,-31.7,70,140,66
55.2,-162.71,7010,383.2,-42.0,60,140,82
55.2,-162.71,7989,331.0,-48.1,1,151,79
55.2,-162.71,9675,256.0,-49.1,1,159,52
55.2,-162.71,10708,219.0,-45.5,1,163,36
55.2,-162.71,11887,183.8,-45.7,1,200,5
55.2,-162.71,13240,150.0,-45.5,1,210,28
55.2,-162.71,15122,113.0,-46.7,1,238,26
55.2,-162.71,18542,67.5,-45.5,1,269,26
55.2,-162.71,21336,44.3,-46.2,1,300,34
55.2,-162.71,23871,30.4,-43.7,1,287,19
55.2,-162.71,25908,22.5,-41.1,1,310,37
55.2,-162.71,28956,14.4,-36.6,1,335,26
58.68,-156.67,24,994.0,4.0,71,149,9
58.68,-156.67,1122,867.0,-3.7,72,147,39
58.68,-156.67,2061,769.0,-9.7,67,169,43
58.68,-156.67,3078,674.0,-11.5,89,185,27
58.68,-156.67,5731,471.0,-29.1,78,210,34
58.68,-156.67,8454,316.0,-50.3,43,217,43
58.68,-156.67,10058,245.3,-60.5,46,210,68
58.68,-156.67,11264,203.0,-51.9,5,229,27
58.68,-156.67,13230,150.0,-51.3,1,225,29
58.68,-156.67,15489,106.0,-49.5,1,244,34
58.68,-156.67,19524,57.3,-49.5,1,282,48
58.68,-156.67,23820,30.0,-45.7,1,298,58
58.68,-156.67,28289,15.5,-43.5,1,314,67
58.68,-156.67,33528,7.2,-37.1,1,335,79
57.75,-152.5,305,968.3,4.5,79,170,16
57.75,-152.5,1442,838.0,-7.3,57,167,26
57.75,-152.5,2801,703.0,-10.5,28,183,26
