,Elevation,Latent Variable 1,Latent Variable 2
215,506.0,1.784389,0.9968
216,1289.0,2.453679,1.981209
217,5.0,6.631418,3.73368
218,5.0,3.139923,7.239889
219,11.0,1.257134,4.914228
220,359.0,3.830149,1.365042
221,387.0,1.739183,2.297694
222,405.0,2.698493,2.56945
223,12.0,1.271458,4.606276
224,5.0,0.0,7.063523
225,1475.0,3.804947,3.367155
226,874.0,3.858167,4.393333
227,62.0,2.920625,0.466254
228,171.0,4.212817,6.824626
229,405.0,2.861054,3.510167
230,874.0,5.572597,0.0
231,173.0,2.814006,2.14728
232,1099.0,2.362555,1.922868
233,5.0,0.553975,5.744477
234,506.0,1.280595,0.575905
235,1289.0,2.920849,2.117581
236,405.0,4.210672,0.560494
237,7.0,0.971255,1.786562
238,16.0,0.725788,0.408801
239,1134.0,4.508902,1.301064
240,125.0,4.337663,5.283403
241,53.0,0.622369,0.259045
242,874.0,6.671583,0.0
243,387.0,3.604121,2.460064
244,1608.0,3.033096,1.343582
245,16.0,4.792731,5.562582
246,849.0,0.766283,1.514867
247,357.0,2.843342,1.361667
248,329.0,8.497786,3.82916
249,790.0,7.673788,2.70534
250,506.0,3.013072,0.53044
251,91.0,2.862763,4.077193
252,12.0,2.200454,2.105913
253,506.0,5.197785,3.306323
254,654.0,2.153153,3.533984
255,345.0,4.098991,3.990815
256,93.0,0.45345,4.6546
257,215.0,8.521948,3.18122
258,396.0,5.829967,1.421689
261,13.0,2.024704,2.247295
262,1475.0,4.092907,3.578337
263,7.0,1.058889,6.770015
264,446.0,2.383098,2.458226
265,214.0,3.401186,0.0
266,5.0,1.759617,0.0
267,9.0,1.286302,3.270976
268,137.0,1.609182,1.789714
270,11.0,0.401209,0.0
271,3.0,5.240764,4.804626
272,93.0,3.413043,4.249122
273,697.0,0.294863,6.044178
274,9.0,0.343026,0.621094
275,62.0,2.372113,4.866085
276,350.0,5.745115,2.029606
277,1608.0,1.45735,0.152659
278,171.0,2.034894,2.296275
280,95.0,6.056804,2.878513
281,270.0,0.468709,0.330681
282,229.0,1.66828,3.425739
283,9.0,3.452592,4.018511
284,190.0,2.138841,2.540887
285,245.0,0.0,6.654529
286,62.0,4.204278,1.824468
287,125.0,2.988325,0.0
288,5.0,0.0,6.751356
289,751.0,3.055459,2.227597
290,137.0,5.843773,6.712566
292,1475.0,0.992691,0.707419
293,61.0,9.291982,1.945328
294,405.0,4.596591,1.038055
295,1134.0,6.522044,2.976417
296,287.0,3.456923,3.228783
297,173.0,1.18862,6.462478
298,387.0,6.877351,3.754103
299,1619.0,5.586354,5.653914
300,1134.0,2.117687,1.795765
301,125.0,1.154207,0.510038
302,79.0,2.761542,4.081754
303,9.0,0.474899,6.119124
304,7.0,1.199025,0.001531
305,16.0,0.818585,0.0
306,11.0,2.238567,5.559838
307,350.0,2.365745,3.149708
308,229.0,2.558465,3.764592
309,313.0,6.492213,4.819164
310,1029.0,1.748206,1.379352
312,215.0,1.49247,2.057344
313,178.0,5.022429,1.320604
314,1619.0,3.601732,3.287667
315,317.0,0.389928,7.17624
317,16.0,0.0,2.814103
318,1516.0,7.845559,4.152096
319,10.0,2.604939,3.443648
320,872.0,4.90487,0.05813
321,1475.0,5.589304,5.197312
322,5.0,1.334617,4.606371
323,1134.0,7.27777,3.534656
324,13.0,4.575426,4.999281
325,329.0,6.906746,3.035126
326,189.0,1.290508,0.0
328,790.0,7.285059,0.805857
329,180.0,0.421749,1.464643
330,9.0,2.540898,2.839733
331,20.0,2.870463,1.394603
332,1516.0,5.035629,7.025799
333,5.0,0.945359,1.298928
334,9.0,4.596676,0.0
335,270.0,4.177956,3.268924
336,446.0,1.431434,2.988006
337,5.0,2.249264,2.833913
338,137.0,5.72915,5.127057
339,190.0,0.151994,3.821697
340,11.0,8.699196,5.308364
341,317.0,3.999128,5.996044
342,287.0,2.314978,3.475493
343,1289.0,7.165223,2.698106
344,446.0,2.899261,2.733985
345,270.0,1.820227,0.0
346,1289.0,3.644016,0.323116
347,1516.0,8.597893,3.967056
348,1619.0,4.020475,2.362717
349,245.0,4.998708,4.276361
350,317.0,2.071361,2.729406
351,20.0,0.935516,6.682002
352,345.0,2.821759,1.546011
353,16.0,5.42936,1.634282
356,874.0,3.901189,2.998513
357,1475.0,3.685112,3.640206
359,387.0,0.0,7.0644
360,1289.0,4.251802,1.390098
361,751.0,3.101438,3.343682
362,173.0,1.932321,2.60195
363,10.0,0.651179,4.340821
364,180.0,1.350163,1.689973
365,700.0,4.022706,1.05427
366,874.0,7.352834,0.885342
367,173.0,1.009081,1.759329
368,317.0,0.244839,6.880262
369,13.0,5.451344,5.913563
370,178.0,3.561971,4.965068
372,874.0,2.117196,1.362839
373,10.0,0.588188,4.356727
374,1029.0,4.246528,1.023734
375,1516.0,4.693809,3.436262
376,62.0,7.127436,0.0
377,229.0,3.005228,0.0
378,13.0,4.726797,5.426525
379,189.0,6.356812,1.239594
380,1611.0,2.835095,2.928429
381,173.0,2.950973,1.473377
382,1099.0,2.594009,2.734998
383,874.0,5.347168,1.240634
384,1516.0,5.220059,4.603657
385,245.0,2.631996,4.921038
386,1516.0,0.0,1.393559
387,1611.0,0.323943,0.356653
388,91.0,2.261621,1.689673
389,849.0,6.727095,2.77615
390,5.0,0.0,7.68839
391,849.0,5.298221,3.296405
392,849.0,3.949597,1.086367
393,190.0,4.851092,0.0
394,61.0,9.253592,2.161264
396,1619.0,5.335615,2.546815
397,317.0,4.779193,1.453938
398,79.0,5.769375,1.735535
399,405.0,1.226493,0.0
400,91.0,0.0,7.467393
401,270.0,2.445549,2.048857
402,1608.0,3.218677,3.198464
403,178.0,0.670448,1.177011
404,1475.0,4.630815,0.0
405,874.0,2.663203,2.278094
406,350.0,1.482521,3.295252
407,79.0,3.531971,5.178789
408,396.0,2.276167,1.015701
409,178.0,0.0,1.713587
410,1516.0,4.472023,3.903054
412,1475.0,4.643056,1.940056
413,1289.0,2.862961,2.81075
414,1099.0,4.42985,4.739182
415,178.0,2.025414,2.348336
416,137.0,5.183347,5.452251
417,173.0,3.267602,4.023361
418,15.0,2.833695,5.641462
419,849.0,3.184566,1.509124
420,13.0,3.126697,3.379392
421,1029.0,1.121533,0.899759
422,5.0,0.267674,6.072482
423,61.0,7.959402,3.325252
424,506.0,3.512863,2.380621
425,1099.0,4.005761,5.179974
426,849.0,7.505048,1.014982
427,270.0,9.090472,3.778518
428,1608.0,1.691025,0.800141
429,121.0,2.820712,4.940779
430,178.0,0.061371,3.944885
431,506.0,4.324184,0.466685
432,357.0,3.194662,1.067528
433,171.0,3.89489,5.305418
434,387.0,6.226619,1.483219
435,3.0,3.723446,5.595853
436,60.0,3.385232,2.574059
437,5.0,3.494322,3.913003
438,125.0,3.26605,3.205761
439,287.0,1.397685,1.281558
440,9.0,1.368088,1.343269
441,121.0,3.783352,4.501626
442,95.0,3.276678,2.211315
443,5.0,7.04732,3.060557
444,189.0,1.575597,0.0
445,178.0,2.031065,7.880456
446,13.0,1.654325,1.672005
447,700.0,8.245464,0.420341
448,1625.0,9.249352,0.984455
449,95.0,1.628946,0.678679
450,16.0,1.846657,0.0
451,10.0,3.522522,5.651366
452,91.0,1.122636,5.525509
