,Elevation,Latent Variable 1,Latent Variable 2
944,1029.0,4.983077,0.123406
945,357.0,3.643992,0.606288
946,1252.0,6.621113,4.460053
947,317.0,3.779886,6.085021
948,12.0,1.375774,2.894417
949,357.0,2.806885,3.041082
950,13.0,2.825546,4.071828
951,10.0,1.968826,3.613737
952,1289.0,4.019505,0.405461
953,245.0,0.0,2.980062
954,3.0,2.413119,3.132658
955,790.0,1.982457,1.979215
956,345.0,2.801612,4.074041
957,287.0,3.377933,3.913596
959,700.0,2.680058,1.718888
960,13.0,4.05795,4.7586
961,13.0,0.0,8.000596
962,60.0,7.291436,4.22366
963,180.0,3.014749,2.559708
964,345.0,1.380419,1.462306
965,37.0,1.370101,5.737082
966,697.0,4.996611,5.658323
967,1099.0,3.451015,3.992312
968,20.0,2.100594,2.992203
969,350.0,3.768053,1.401935
970,62.0,8.020674,3.33151
971,10.0,4.295049,3.776455
972,345.0,3.149216,4.57814
973,345.0,2.660456,2.433069
974,697.0,4.77319,4.717302
975,790.0,5.52838,0.842813
976,270.0,4.163929,5.015551
977,345.0,1.122654,1.444846
978,1516.0,1.506652,0.0
979,171.0,9.315162,5.245422
980,751.0,3.386961,4.7995
981,11.0,3.61469,5.018384
982,345.0,2.452624,2.770171
983,95.0,3.949359,2.180822
984,13.0,0.031728,6.894479
985,53.0,0.900287,4.304089
986,697.0,3.470028,3.088169
987,350.0,4.541644,2.389436
988,387.0,6.482691,3.303117
989,405.0,6.924875,0.841787
990,37.0,0.521531,8.18162
991,62.0,4.721767,0.917419
992,446.0,1.275763,1.188347
993,1475.0,4.939796,4.474196
994,10.0,0.0,4.434653
995,178.0,2.909976,3.579351
996,5.0,2.608822,5.413891
997,91.0,1.622583,2.517816
998,20.0,8.051176,1.355399
999,16.0,3.341946,7.335362
