6001	88.870483	89.003852	-0.133368	3.522236	3.159189	3.118141	1.410849	88.604151	91.400000	11889.000000
6002	88.801813	88.967638	-0.165825	7.153721	4.829830	4.734986	4.066413	82.570557	73.040000	11889.000000
6003	88.628175	88.982580	-0.354405	3.836546	3.549857	3.186084	3.152719	80.775875	88.160000	11889.000000
6004	88.770960	88.909469	-0.138510	3.840203	2.617515	3.561933	2.155196	82.584459	86.360000	11889.000000
6005	89.188315	89.232267	-0.043951	5.973916	2.240696	3.708611	2.148167	93.610716	83.120000	11889.000000
6006	89.340555	89.224163	0.116392	3.912052	1.253333	2.340708	1.188209	73.017511	81.680000	11889.000000
6007	89.145741	89.330853	-0.185112	3.006043	1.180596	2.002928	2.201600	61.948198	82.400000	11889.000000
6008	89.060562	89.249929	-0.189367	3.414312	1.980319	2.057356	1.373656	69.388905	88.520000	11889.000000
6009	89.192004	89.320325	-0.128321	2.145008	0.751076	0.995480	0.572851	81.766892	88.160000	11889.000000
6010	89.170074	89.292381	-0.122307	2.842119	0.659650	1.528120	1.637927	24.736110	91.760000	11889.000000
6011	89.270109	89.367202	-0.097093	2.769208	0.301120	0.962248	0.351912	40.531615	89.960000	11889.000000
6012	89.399822	89.225004	0.174818	3.498210	1.667350	2.343136	1.481297	46.000000	88.160000	11889.000000
6013	88.723127	89.112895	-0.389768	4.513136	4.015280	2.818049	3.269617	69.541689	87.800000	11889.000000
6014	88.777928	88.790965	-0.013038	6.217436	5.420471	5.212691	3.336026	89.496092	86.000000	11889.000000
6015	88.694878	88.825578	-0.130700	6.638702	3.124537	6.104339	2.686154	81.571880	80.240000	11889.000000
6016	89.206846	89.256167	-0.049321	4.093814	0.452678	2.303543	0.535763	58.667954	78.440000	11889.000000
6017	89.363580	89.264837	0.098742	5.110807	1.718991	3.021737	1.686316	92.220077	69.800000	11889.000000
6018	89.073190	89.162159	-0.088969	2.513907	0.790366	2.672340	2.055199	60.561562	78.080000	11889.000000
6019	88.973627	88.928894	0.044734	5.510534	2.976621	5.409508	5.991959	85.408897	61.880000	11889.000000
6020	88.683203	88.839020	-0.155817	4.822237	2.320807	4.842746	3.066679	85.000000	77.720000	11889.000000
6021	89.052432	89.279877	-0.227445	4.392753	3.842059	3.747619	0.467437	82.587119	84.920000	11889.000000
6022	89.080317	89.031393	0.048923	3.835814	3.402759	4.175919	1.307549	69.897169	88.520000	11889.000000
6023	88.562549	88.632826	-0.070277	4.613661	3.974660	4.727128	3.717233	88.413438	89.960000	11889.000000
6024	89.104054	89.294989	-0.190935	2.646741	2.514447	2.173413	0.683154	71.501919	89.240000	11889.000000
6025	89.051415	89.577442	-0.526027	5.985366	2.628376	2.560391	3.060310	80.110392	73.760000	11889.000000
6026	89.126010	89.435167	-0.309156	5.222012	6.433715	3.720905	0.939261	77.494955	89.600000	11889.000000
6027	88.894070	89.126144	-0.232074	4.275813	5.401052	3.074072	3.609957	88.401586	90.680000	11889.000000
6028	88.792838	89.249745	-0.456907	3.851736	3.322128	2.541071	3.591026	87.943715	78.080000	11889.000000
6029	88.846356	89.253200	-0.406843	4.462129	2.775753	2.219700	2.670997	83.206380	81.680000	11889.000000
6030	88.868048	89.243500	-0.375452	4.351643	2.407563	2.507805	3.154585	69.419939	79.160000	11889.000000
6031	89.211861	89.233885	-0.022024	3.357706	2.171483	2.189693	2.110352	75.964368	80.600000	11889.000000
6032	89.244795	89.296288	-0.051494	4.358696	3.265372	2.518493	2.104870	71.418124	80.960000	11889.000000
6033	88.972362	89.197412	-0.225050	6.073630	2.516990	3.257099	4.387386	98.957098	64.760000	11889.000000
6034	88.964075	89.317216	-0.353141	5.153814	2.128117	2.484352	3.698322	84.000000	69.800000	11889.000000
6035	89.310134	89.649710	-0.339576	4.051723	2.892047	0.198794	1.291849	70.711486	74.840000	11889.000000
6036	88.872765	88.959674	-0.086909	4.845619	3.123139	3.270194	2.617099	70.049860	84.920000	11889.000000
6037	89.011382	89.313521	-0.302139	4.085113	5.485586	2.169372	3.128594	86.796968	82.760000	11889.000000
6038	89.269288	89.120135	0.149152	4.278048	3.070117	2.652915	2.044672	51.462804	88.520000	11889.000000
6039	88.963444	89.264801	-0.301358	6.323814	6.456705	4.469747	2.099799	88.138452	86.360000	11889.000000
6040	89.179114	89.405873	-0.226759	4.498337	3.422061	3.268035	0.851003	48.216380	92.840000	11889.000000
6041	89.186989	89.117742	0.069247	4.731315	3.357936	3.638183	1.117710	35.857865	94.280000	11889.000000
6042	89.233335	89.641682	-0.408347	3.686167	1.837589	3.236821	0.987305	26.659044	90.680000	11889.000000
6043	88.990149	89.203284	-0.213135	4.236196	1.908982	3.556865	1.293677	38.486178	92.120000	11889.000000
6044	88.830933	89.154920	-0.323988	6.515273	5.487156	5.237730	0.751223	87.633889	93.200000	11889.000000
6045	89.065789	88.875347	0.190443	7.295733	6.824862	5.660536	1.965987	92.780382	88.160000	11889.000000
6046	88.879297	89.091371	-0.212074	6.112035	5.854572	5.779646	1.262267	88.906371	88.880000	11889.000000
6047	88.905435	88.837053	0.068382	5.472186	3.712198	5.167486	5.766800	91.207604	80.600000	11889.000000
6048	90.499692	89.319017	1.180675	3.943259	2.297924	2.770623	0.000000	74.681608	83.480000	11889.000000
6049	89.189594	89.382372	-0.192778	3.849558	1.496653	2.580070	1.039189	52.272929	78.800000	11889.000000
6050	89.543966	89.593952	-0.049985	4.151523	3.789313	3.702410	0.174417	42.792339	85.280000	11889.000000
6051	89.202263	89.280213	-0.077950	4.595868	5.421734	3.750005	1.045650	90.040211	84.200000	11889.000000
