0,88.109085,88.040118,0.068967,0.932982,2.022383,0.786433,1.427289,1.104284,0.729236,3.829823,1.563395
,,,,,,,,,,,
1,88.297923,88.26857,0.029353,3.285749,1.702835,2.789859,0.993618,0.981988,1.364263,2.395193,0.723528
,,,,,,,,,,,
2,88.572121,88.413583,0.158539,3.189147,1.506393,2.901848,2.278453,0.633284,0.964008,2.088935,1.22423
,,,,,,,,,,,
3,88.995115,89.24269,-0.247575,2.467109,1.292539,3.606157,1.499391,0.641295,3.432815,1.539777,1.089561
,,,,,,,,,,,
4,87.81515,87.815775,-0.000625,2.377349,2.273106,2.256706,2.744447,2.451912,2.69733,3.889285,3.344371
,,,,,,,,,,,
5,88.843778,89.149397,-0.305619,2.504857,0.98954,2.271473,1.265278,0.452035,3.107655,1.456898,1.373596
,,,,,,,,,,,
6,88.701743,88.710842,-0.009099,1.611199,2.370217,2.22237,1.534851,1.245265,0.875335,2.088029,1.706233
,,,,,,,,,,,
7,88.339886,88.457763,-0.117876,2.066303,1.365892,1.026896,0.988287,1.466985,0.698863,3.056159,1.853287
,,,,,,,,,,,
8,88.100108,88.267539,-0.16743,1.918836,1.49879,1.428667,1.515207,0.292261,0,1.014033,1.502881
,,,,,,,,,,,
9,88.924188,88.769382,0.154806,1.984312,2.206962,2.821352,0.589284,1.908169,1.013179,2.448383,1.155655
,,,,,,,,,,,
10,88.243547,88.281918,-0.038371,2.047407,1.7785,2.803279,1.120766,1.524135,2.549652,1.728433,1.247463
,,,,,,,,,,,
11,87.988508,87.911024,0.077484,1.626106,1.568097,0.169031,1.177752,2.586592,2.105314,2.913276,2.16194
,,,,,,,,,,,
12,87.376792,87.351523,0.025269,1.217135,1.129173,0.292948,1.027533,1.916111,0.469303,1.4452,1.753174
,,,,,,,,,,,
13,87.777528,87.718742,0.058786,2.380982,1.882717,0.64603,1.619742,1.663756,2.147392,2.011455,1.568321
,,,,,,,,,,,
14,87.25969,87.616967,-0.357277,2.642222,1.805624,0.698999,1.582243,3.24166,1.851459,3.712112,2.792678
,,,,,,,,,,,
15,87.275699,87.13597,0.139728,2.379838,1.634227,1.801785,1.255778,2.382936,3.068649,1.397197,1.024994
,,,,,,,,,,,
16,87.53049,87.962758,-0.432267,1.72352,2.126355,0.978542,1.813536,1.319066,1.867115,3.571932,2.301135
,,,,,,,,,,,
17,87.874342,87.820857,0.053485,2.646082,1.689876,2.782185,0.927463,1.026578,1.443255,3.032478,1.464179
,,,,,,,,,,,
18,88.605505,88.387876,0.217629,2.044488,0.4805,3.658217,1.264452,0.746574,1.28824,1.240306,0.998784
,,,,,,,,,,,
19,88.3563,88.421489,-0.065189,0.701502,1.852803,3.679779,3.412272,1.698313,2.540402,1.741939,3.410881
,,,,,,,,,,,
20,87.312145,87.113406,0.198738,2.612007,1.858117,2.850075,1.946386,3.265323,2.16589,3.629322,2.050011
,,,,,,,,,,,
21,87.90588,87.851141,0.054739,2.905674,2.444767,4.429868,2.415388,2.771557,1.693863,2.359324,2.118679
,,,,,,,,,,,
22,88.245852,88.122783,0.123069,1.794759,1.747671,4.800467,2.407947,1.637779,2.166055,0.986397,2.425931
,,,,,,,,,,,
23,89.101329,88.716445,0.384884,3.014779,2.167578,4.48306,1.253623,2.311974,1.861335,0.825318,1.342861
,,,,,,,,,,,
